author_id,edit_history_tweet_ids,id,public_metrics,text,retweeter,withheld,tweeter
1149059900921864193,[1624504690389012480],1624504690389012480,"{'retweet_count': 6, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}","RT @lueckenbildung: Die Einschränkung von Teilzeit wird dafür sorgen, dass noch mehr Lehrkräfte aus dem Beruf ausscheiden. Eine Stunden-Red…",Freihei89070736,,lueckenbildung
1337646469764030464,[1624504602296041476],1624504602296041476,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,MichaelderEngel,,Deu_Kurier
816613230936211457,[1624504589255860226],1624504589255860226,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,HeinzWalek,,Deu_Kurier
1221531733302136832,[1624503313335984128],1624503313335984128,"{'retweet_count': 14, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @MarkRackles: Wir haben ein strukturelles Problem in der universitären Lehrkräftebildung! Der folgende Beitrag sollte Pflichtlektüre für…,FloriKohl,,MarkRackles
3355809280,[1624503087208488960],1624503087208488960,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,Venora_Khoon,,Deu_Kurier
1537724212089176065,[1624502998536708096],1624502998536708096,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,Brennnessel_in,,Deu_Kurier
1587794243489243137,[1624502636908105730],1624502636908105730,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,Ruderwillie,,Deu_Kurier
1587041364260360192,[1624501485366124545],1624501485366124545,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,nikolaus_lettre,,Deu_Kurier
1207227300569370624,[1624500225711788032],1624500225711788032,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,EiseltThomas,,Deu_Kurier
2970300681,[1624499342957592579],1624499342957592579,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,38bb4f9e2086420,,Deu_Kurier
2174841431,[1624497908182573057],1624497908182573057,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,M759G,,Deu_Kurier
1618012371905028096,[1624496703230427136],1624496703230427136,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,TrumpFansBayern,,Deu_Kurier
1707755058,[1624493393261867008],1624493393261867008,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,JrgenSpelthahn1,,Deu_Kurier
1160183215308623873,[1624491993677066247],1624491993677066247,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}","RT @xNaryk: Aber wir sind wenige, an einer Hand abzählbar. (Ja, wir sind eine kleine Universität, aber 20-25% aller Studierenden studieren…",Bot_TwLehrerZ,,xNaryk
1564174751878225924,[1624491294868242440],1624491294868242440,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,Michael49271794,,Deu_Kurier
1504556812724580359,[1624490880244621312],1624490880244621312,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,driverkl1,,Deu_Kurier
1476875904852926464,[1624490750502109185],1624490750502109185,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,Dodo00753335893,,Deu_Kurier
1456023808897388546,[1624489525102641152],1624489525102641152,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,BelphegorCarni,,Deu_Kurier
1583452237329829891,[1624489399059730441],1624489399059730441,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,BitcoinElmanos,,Deu_Kurier
1594253342309490688,[1624488722644230145],1624488722644230145,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,FreedomF0rFutur,,Deu_Kurier
1536678436957192194,[1624486740957319171],1624486740957319171,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,Nordlicht1953,,Deu_Kurier
802917797298864128,[1624486214236573697],1624486214236573697,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,andreasguenth22,,Deu_Kurier
475901833,[1624486082296291334],1624486082296291334,"{'retweet_count': 207, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",RT @Deu_Kurier: Mehr als 200.000 ukrainische Schüler besuchen inzwischen deutsche Schulen. Das bringt die ohnehin schon überlasteten Lehrkr…,g_riederer,,Deu_Kurier
